City,X1,X2,X3,X4,X5,X6,X7
City1,478,184,40,74,11,31,20
City2,494,213,32,72,11,43,18
City3,643,347,57,70,18,16,16
City4,341,565,31,71,11,25,19
City5,773,327,67,72,9,29,24
City6,603,260,25,68,8,32,15
City7,484,325,34,68,12,24,14
City8,546,102,33,62,13,28,11
City9,424,38,36,69,7,25,12
City10,548,226,31,66,9,58,15
City11,506,137,35,60,13,21,9
City12,819,369,30,81,4,77,36
City13,541,109,44,66,9,37,12
City14,491,809,32,67,11,37,16
City15,514,29,30,65,12,35,11
City16,371,245,16,64,10,42,14
City17,457,118,29,64,12,21,10
City18,437,148,36,62,7,81,27
City19,570,387,30,59,15,31,16
City20,432,98,23,56,15,50,15
City21,619,608,33,46,22,24,8
City22,357,218,35,54,14,27,13
City23,623,254,38,54,20,22,11
City24,547,697,44,45,26,18,8
City25,792,827,28,57,12,23,11
City26,799,693,35,57,9,60,18
City27,439,448,31,61,19,14,12
City28,867,942,39,52,17,31,10
City29,912,1017,27,44,21,24,9
City30,462,216,36,43,18,23,8
City31,859,673,38,48,19,22,10
City32,805,989,46,57,14,25,12
City33,652,630,29,47,19,25,9
City34,776,404,32,50,19,21,9
City35,919,692,39,48,16,32,11
City36,732,1517,44,49,13,31,14
City37,657,879,33,72,13,13,22
City38,1419,631,43,59,14,21,13
City39,989,1375,22,49,9,46,13
City40,821,1139,30,54,13,27,12
City41,1740,3545,86,62,22,18,15
City42,815,706,30,47,17,39,11
City43,760,451,32,45,34,15,10
City44,936,433,43,48,26,23,12
City45,863,601,20,69,23,7,12
City46,783,1024,55,42,23,23,11
City47,715,457,44,49,18,30,12
City48,1504,1441,37,57,15,35,13
City49,1324,1022,82,72,22,15,16
City50,940,1244,66,67,26,18,16
