,LT,ICICIBANK,EICHERMOT,HDFC,WIPRO,SUNPHARMA,ITC,VIDEOIND,HINDZINC,TCS
LT,1.0,0.3433762402603914,0.2545780433463114,0.3453421692867682,0.1489702216592481,0.1501020863626828,0.23539239207377355,0.1280544146076933,0.296322968935689,-0.0022265891248587667
ICICIBANK,0.3433762402603914,1.0,0.15068186097276912,0.17868455037787323,-0.054827378099717,0.07997236366528276,0.2028893830042077,0.08021908038992756,0.261701045155439,-0.03793558026327654
EICHERMOT,0.2545780433463114,0.15068186097276912,1.0,0.20926294185179725,0.08111363038688829,0.06965022700740932,0.13145457357341625,0.06744514781859082,0.1941553300168123,-0.08239435859670169
HDFC,0.3453421692867682,0.17868455037787323,0.20926294185179725,1.0,0.06953178185981818,0.07676365831622287,0.28747724379508893,0.05490566305791346,0.19772687549933823,-0.11198609301443528
WIPRO,0.1489702216592481,-0.054827378099717,0.08111363038688829,0.06953178185981818,1.0,0.10456547539756893,0.0640636878921731,-0.07982111252575383,0.11182998339146975,0.03523505310454539
SUNPHARMA,0.1501020863626828,0.07997236366528276,0.06965022700740932,0.07676365831622287,0.10456547539756893,1.0,0.09700703085673526,0.005714947198554577,0.23057791314633808,0.10281295272999257
ITC,0.23539239207377355,0.2028893830042077,0.13145457357341625,0.28747724379508893,0.0640636878921731,0.09700703085673526,1.0,-0.0059428163175751034,0.12757492709349552,0.01272378962795283
VIDEOIND,0.1280544146076933,0.08021908038992756,0.06744514781859082,0.05490566305791346,-0.07982111252575383,0.005714947198554577,-0.0059428163175751034,1.0,0.1353435071607174,-0.002841385786042929
HINDZINC,0.296322968935689,0.261701045155439,0.1941553300168123,0.19772687549933823,0.11182998339146975,0.23057791314633808,0.12757492709349552,0.1353435071607174,1.0,-0.04423589094151979
TCS,-0.0022265891248587667,-0.03793558026327654,-0.08239435859670169,-0.11198609301443528,0.03523505310454539,0.10281295272999257,0.01272378962795283,-0.002841385786042929,-0.04423589094151979,1.0
